1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
2,343
170,333
1,307
177,267
214,264
145,257
90,253
71,252
294,247
473,245
153,242
16,241
299,238
134,236
198,230
169,219
303,218
185,213
323,208
0,-1
